scenario	BL	replicate	time_to_sc
rescue_low	BL3	10	26
rescue_low	BL3	11	20
rescue_low	BL3	12	23
rescue_low	BL3	13	19
rescue_low	BL3	14	19
rescue_low	BL3	15	19
rescue_low	BL3	16	14
rescue_low	BL3	17	14
rescue_low	BL3	18	13
rescue_low	BL3	19	34
rescue_low	BL3	20	18
rescue_low	BL3	21	20
rescue_low	BL3	22	32
rescue_low	BL3	23	28
rescue_low	BL3	24	32
rescue_low	BL3	25	17
rescue_low	BL3	26	24
rescue_low	BL3	27	23
rescue_low	BL3	28	24
rescue_low	BL3	29	18
rescue_low	BL4	0	10
rescue_low	BL4	1	27
rescue_low	BL4	2	24
rescue_low	BL4	3	31
rescue_low	BL4	4	24
rescue_low	BL4	5	19
rescue_low	BL4	6	13
rescue_low	BL4	7	15
rescue_low	BL4	8	29
rescue_low	BL4	9	24
rescue_low	BL4	10	22
rescue_low	BL4	11	24
rescue_low	BL4	12	18
rescue_low	BL4	13	35
rescue_low	BL4	14	21
rescue_low	BL4	15	21
rescue_low	BL4	16	15
rescue_low	BL4	17	30
rescue_low	BL4	18	16
rescue_low	BL4	19	16
rescue_low	BL4	20	23
rescue_low	BL4	21	17
rescue_low	BL4	22	18
rescue_low	BL4	23	19
rescue_low	BL4	24	25
rescue_low	BL4	25	27
rescue_low	BL4	26	20
rescue_low	BL4	27	28
rescue_low	BL4	28	22
rescue_low	BL4	29	27
rescue_low	BL5	0	20
rescue_low	BL5	1	17
rescue_low	BL5	2	16
rescue_low	BL5	3	40
rescue_low	BL5	4	21
rescue_low	BL5	5	18
rescue_low	BL5	6	22
rescue_low	BL5	7	23
rescue_low	BL5	8	20
rescue_low	BL5	9	21
rescue_low	BL5	10	24
rescue_low	BL5	11	21
rescue_low	BL5	12	24
rescue_low	BL5	13	27
rescue_low	BL5	14	31
rescue_low	BL5	15	25
rescue_low	BL5	16	32
rescue_low	BL5	17	34
rescue_low	BL5	18	22
rescue_low	BL5	19	27
rescue_low	BL5	20	33
rescue_low	BL5	21	27
rescue_low	BL5	22	26
rescue_low	BL5	23	25
rescue_low	BL5	24	32
rescue_low	BL5	25	18
rescue_low	BL5	26	21
rescue_low	BL5	27	17
rescue_low	BL5	28	22
rescue_low	BL5	29	17
rescue_high	BL1	0	4
rescue_high	BL1	1	4
rescue_high	BL1	2	4
rescue_high	BL1	3	7
rescue_high	BL1	4	3
rescue_high	BL1	5	1
rescue_high	BL1	6	3
rescue_high	BL1	7	4
rescue_high	BL1	8	3
rescue_high	BL1	9	2
rescue_high	BL1	10	3
rescue_high	BL1	11	14
rescue_high	BL1	12	2
rescue_high	BL1	13	3
rescue_high	BL1	14	3
rescue_high	BL1	15	3
rescue_high	BL1	16	5
rescue_high	BL1	17	13
rescue_high	BL1	18	3
rescue_high	BL1	19	5
rescue_high	BL1	20	4
rescue_high	BL1	21	11
rescue_high	BL1	22	5
rescue_high	BL1	23	5
rescue_high	BL1	24	4
rescue_high	BL1	25	6
rescue_high	BL1	26	7
rescue_high	BL1	27	5
rescue_high	BL1	28	3
rescue_high	BL1	29	9
rescue_high	BL2	0	9
rescue_high	BL2	1	5
rescue_high	BL2	2	7
rescue_high	BL2	3	10
rescue_high	BL2	4	7
rescue_high	BL2	5	12
rescue_high	BL2	6	5
rescue_high	BL2	7	17
rescue_high	BL2	8	12
rescue_high	BL2	9	14
rescue_high	BL2	10	15
rescue_high	BL2	11	9
rescue_high	BL2	12	17
rescue_high	BL2	13	10
rescue_high	BL2	14	9
rescue_high	BL2	15	8
rescue_high	BL2	16	16
rescue_high	BL2	17	7
rescue_high	BL2	18	8
rescue_high	BL2	19	9
rescue_high	BL2	20	17
rescue_high	BL2	21	15
rescue_high	BL2	22	7
rescue_high	BL2	23	9
rescue_high	BL2	24	10
rescue_high	BL2	25	17
rescue_high	BL2	26	16
rescue_high	BL2	27	28
rescue_high	BL2	28	20
rescue_high	BL2	29	19
rescue_high	BL3	0	22
rescue_high	BL3	1	23
rescue_high	BL3	2	40
rescue_high	BL3	3	27
rescue_high	BL3	4	21
rescue_high	BL3	5	20
rescue_high	BL3	6	41
rescue_high	BL3	7	23
rescue_high	BL3	8	25
rescue_high	BL3	9	23
rescue_high	BL3	10	13
rescue_high	BL3	11	30
rescue_high	BL3	12	40
rescue_high	BL3	13	24
rescue_high	BL3	14	18
rescue_high	BL3	15	25
rescue_high	BL3	16	25
rescue_high	BL3	17	37
rescue_high	BL3	18	27
rescue_high	BL3	19	20
rescue_high	BL3	20	35
rescue_high	BL3	21	19
rescue_high	BL3	22	33
rescue_high	BL3	23	21
rescue_high	BL3	24	26
rescue_high	BL3	25	38
rescue_high	BL3	26	15
rescue_high	BL3	27	17
rescue_high	BL3	28	14
rescue_high	BL3	29	27
rescue_high	BL4	0	32
rescue_high	BL4	1	36
rescue_high	BL4	2	30
rescue_high	BL4	3	29
rescue_high	BL4	4	29
rescue_high	BL4	5	30
rescue_high	BL4	6	19
rescue_high	BL4	7	37
rescue_high	BL4	8	27
rescue_high	BL4	9	15
rescue_high	BL4	10	52
rescue_high	BL4	11	30
rescue_high	BL4	12	23
rescue_high	BL4	13	24
rescue_high	BL4	14	37
rescue_high	BL4	15	18
rescue_high	BL4	16	28
rescue_high	BL4	17	17
rescue_high	BL4	18	28
rescue_high	BL4	19	16
rescue_high	BL4	20	14
rescue_high	BL4	21	22
rescue_high	BL4	22	46
rescue_high	BL4	23	21
rescue_high	BL4	24	28
rescue_high	BL4	25	25
rescue_high	BL4	26	30
rescue_high	BL4	27	31
rescue_high	BL4	28	21
rescue_high	BL4	29	27
rescue_high	BL5	0	21
rescue_high	BL5	1	23
rescue_high	BL5	2	39
rescue_high	BL5	3	46
rescue_high	BL5	4	24
rescue_high	BL5	5	16
rescue_high	BL5	6	17
rescue_high	BL5	7	20
rescue_high	BL5	8	19
rescue_high	BL5	9	23
rescue_high	BL5	10	26
rescue_high	BL5	11	20
rescue_high	BL5	12	32
rescue_high	BL5	13	14
