Sample_ID	Library	Barcode	EO	EO_normalised	BL_inferred	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason	Outcome_category
Library007_barcode77	7	77	27	EO27	BL4	1	12	12			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library007_barcode78	7	78	27	EO27	BL4	1	28	28			normal	10.0	Functional	premature_stop	Assigned	Included			Functional
Library007_barcode79	7	79	27	EO27	BL4	1	48	20			dropped_abundance_filter	0.0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(16))	Re_PCR
Library007_barcode80	7	80	27	EO27	BL4	1	16	12			normal	8.0	Functional	premature_stop	Assigned	Included			Functional
Library007_barcode81	7	81	67	EO67	BL4	1	48	28			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode82	7	82	67	EO67	BL4	1	24	20			normal	14.0	Functional	premature_stop	Assigned	Included			Functional
Library007_barcode83	7	83	67	EO67	BL4	1	52	28			low_functional_rate	10.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode84	7	84	67	EO67	BL4	1	28	28			low_functional_rate	7.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library007_barcode85	7	85	67	EO67	BL4	1	28	28			low_functional_rate	10.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library007_barcode86	7	86	67	EO67	BL4	1	32	24			normal	13.0	Functional	premature_stop	Assigned	Included			Functional
