recipient_level	recipient_group	recipient_BL	recipient_N	k_recipient	donor_level	donor_group	donor_BL	donor_N	k_donor	tier	rank_in_tier	novel_alleles	shared_alleles	k_after_injection	pct_species_gap_closed	pct_observed_gap_closed	novel_allele_ids
EO	70	BL2	74	6	EO	27	BL4	61	22	cross-BL	3	19	3	25	35.8	44.2	Allele_004,Allele_005,Allele_006,Allele_017,Allele_018,Allele_020,Allele_022,Allele_025,Allele_027,Allele_028,Allele_029,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_040,Allele_044,Allele_051
EO	70	BL2	74	6	BL	BL3	BL3	81	15	cross-BL	4	13	2	19	24.5	30.2	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_018,Allele_022,Allele_027,Allele_032,Allele_034,Allele_040,Allele_047,Allele_049
EO	70	BL2	74	6	EO	76	BL3	76	14	cross-BL	5	12	2	18	22.6	27.9	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_018,Allele_022,Allele_027,Allele_032,Allele_034,Allele_040,Allele_047
EO	70	BL2	74	6	EO	25	BL5	51	14	cross-BL	6	11	3	17	20.8	25.6	Allele_006,Allele_018,Allele_019,Allele_024,Allele_028,Allele_031,Allele_032,Allele_033,Allele_037,Allele_038,Allele_040
EO	70	BL2	74	6	EO	18	BL5	37	13	cross-BL	7	10	3	16	18.9	23.3	Allele_002,Allele_003,Allele_015,Allele_017,Allele_018,Allele_027,Allele_028,Allele_040,Allele_044,Allele_052
EO	70	BL2	74	6	EO	67	BL4	37	10	cross-BL	8	8	2	14	15.1	18.6	Allele_018,Allele_023,Allele_026,Allele_030,Allele_031,Allele_040,Allele_042,Allele_045
EO	70	BL2	74	6	BL	BL1	BL1	11	5	cross-BL	9	3	2	9	5.7	7.0	Allele_022,Allele_025,Allele_040
EO	67	BL4	37	10	EO	27	BL4	61	22	within-BL	1	18	4	28	36.7	46.2	Allele_004,Allele_005,Allele_006,Allele_017,Allele_020,Allele_022,Allele_025,Allele_027,Allele_028,Allele_029,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_039,Allele_044,Allele_051
EO	67	BL4	37	10	BL	BL5	BL5	92	23	cross-BL	1	17	6	27	34.7	43.6	Allele_002,Allele_003,Allele_006,Allele_015,Allele_017,Allele_019,Allele_024,Allele_025,Allele_027,Allele_028,Allele_032,Allele_033,Allele_037,Allele_038,Allele_039,Allele_044,Allele_052
EO	67	BL4	37	10	BL	BL3	BL3	81	15	cross-BL	2	11	4	21	22.4	28.2	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_027,Allele_032,Allele_034,Allele_047,Allele_049
