scenario	BL	replicate	time_to_sc
high_drift	BL5	1	24.0
high_drift	BL5	2	
high_drift	BL5	3	
high_drift	BL5	4	38.0
high_drift	BL5	5	92.0
high_drift	BL5	6	27.0
high_drift	BL5	7	148.0
high_drift	BL5	8	46.0
high_drift	BL5	9	94.0
high_drift	BL5	10	113.0
high_drift	BL5	11	27.0
high_drift	BL5	12	
high_drift	BL5	13	171.0
high_drift	BL5	14	124.0
high_drift	BL5	15	29.0
high_drift	BL5	16	135.0
high_drift	BL5	17	
high_drift	BL5	18	126.0
high_drift	BL5	19	68.0
high_drift	BL5	20	18.0
high_drift	BL5	21	
high_drift	BL5	22	
high_drift	BL5	23	196.0
high_drift	BL5	24	
high_drift	BL5	25	139.0
high_drift	BL5	26	58.0
high_drift	BL5	27	30.0
high_drift	BL5	28	
high_drift	BL5	29	33.0
high_drift	BL5	30	
high_drift	BL5	31	112.0
high_drift	BL5	32	40.0
high_drift	BL5	33	15.0
high_drift	BL5	34	200.0
high_drift	BL5	35	43.0
high_drift	BL5	36	
high_drift	BL5	37	33.0
high_drift	BL5	38	
high_drift	BL5	39	
high_drift	BL5	40	92.0
high_drift	BL5	41	111.0
high_drift	BL5	42	32.0
high_drift	BL5	43	91.0
high_drift	BL5	44	
high_drift	BL5	45	31.0
high_drift	BL5	46	
high_drift	BL5	47	171.0
high_drift	BL5	48	103.0
high_drift	BL5	49	25.0
