Individual	Protein
Library001_barcode20	SRK_protein_006
Library001_barcode20	SRK_protein_006
Library001_barcode20	SRK_protein_199
Library001_barcode20	SRK_protein_199
Library001_barcode20	SRK_protein_199
Library001_barcode20	SRK_protein_199
Library001_barcode21	SRK_protein_200
Library001_barcode21	SRK_protein_200
Library001_barcode21	SRK_protein_200
Library001_barcode21	SRK_protein_200
Library001_barcode21	SRK_protein_004
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_021
Library002_barcode23	SRK_protein_022
Library002_barcode23	SRK_protein_022
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_024
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_024
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_024
Library002_barcode24	SRK_protein_023
Library002_barcode24	SRK_protein_024
Library002_barcode24	SRK_protein_023
Library002_barcode26	SRK_protein_025
Library002_barcode26	SRK_protein_025
Library002_barcode26	SRK_protein_025
Library002_barcode26	SRK_protein_025
Library002_barcode27	SRK_protein_026
Library002_barcode27	SRK_protein_026
Library002_barcode27	SRK_protein_026
Library002_barcode27	SRK_protein_026
Library002_barcode28	SRK_protein_027
Library002_barcode28	SRK_protein_027
Library002_barcode28	SRK_protein_027
Library002_barcode28	SRK_protein_027
Library002_barcode28	SRK_protein_028
Library002_barcode28	SRK_protein_028
Library002_barcode28	SRK_protein_028
Library002_barcode28	SRK_protein_028
Library002_barcode29	SRK_protein_029
Library002_barcode29	SRK_protein_029
Library002_barcode29	SRK_protein_030
Library002_barcode29	SRK_protein_030
Library002_barcode29	SRK_protein_030
Library002_barcode29	SRK_protein_030
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_032
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_032
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_031
Library002_barcode31	SRK_protein_032
Library002_barcode31	SRK_protein_031
Library002_barcode32	SRK_protein_033
Library002_barcode32	SRK_protein_033
Library002_barcode32	SRK_protein_034
Library002_barcode32	SRK_protein_035
Library002_barcode32	SRK_protein_034
Library002_barcode32	SRK_protein_035
Library002_barcode32	SRK_protein_034
Library002_barcode32	SRK_protein_035
Library002_barcode32	SRK_protein_034
Library002_barcode32	SRK_protein_035
Library002_barcode34	SRK_protein_036
Library002_barcode34	SRK_protein_037
Library002_barcode34	SRK_protein_038
Library002_barcode34	SRK_protein_037
Library002_barcode34	SRK_protein_038
Library002_barcode34	SRK_protein_037
Library002_barcode34	SRK_protein_038
Library002_barcode34	SRK_protein_037
Library002_barcode34	SRK_protein_038
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_040
Library002_barcode35	SRK_protein_013
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_040
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_040
Library002_barcode35	SRK_protein_039
Library002_barcode35	SRK_protein_040
Library002_barcode35	SRK_protein_039
Library002_barcode36	SRK_protein_041
Library002_barcode36	SRK_protein_041
Library002_barcode36	SRK_protein_041
Library002_barcode36	SRK_protein_041
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode37	SRK_protein_042
Library002_barcode38	SRK_protein_043
Library002_barcode38	SRK_protein_044
Library002_barcode38	SRK_protein_043
Library002_barcode38	SRK_protein_044
Library002_barcode38	SRK_protein_043
Library002_barcode38	SRK_protein_044
Library002_barcode38	SRK_protein_043
Library002_barcode38	SRK_protein_044
Library002_barcode38	SRK_protein_045
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_047
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_048
Library002_barcode39	SRK_protein_047
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_048
Library002_barcode39	SRK_protein_047
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_048
Library002_barcode39	SRK_protein_047
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_046
Library002_barcode39	SRK_protein_048
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_050
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_052
Library002_barcode40	SRK_protein_050
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_052
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_050
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_052
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_050
Library002_barcode40	SRK_protein_052
Library002_barcode40	SRK_protein_053
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_053
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_053
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_049
Library002_barcode40	SRK_protein_053
Library002_barcode40	SRK_protein_051
Library002_barcode40	SRK_protein_049
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_055
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_056
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_055
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_056
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_055
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_056
Library002_barcode41	SRK_protein_055
Library002_barcode41	SRK_protein_054
Library002_barcode41	SRK_protein_056
Library002_barcode41	SRK_protein_002
Library002_barcode41	SRK_protein_057
Library002_barcode41	SRK_protein_002
Library002_barcode41	SRK_protein_057
Library002_barcode41	SRK_protein_002
Library002_barcode41	SRK_protein_057
Library002_barcode41	SRK_protein_057
Library002_barcode42	SRK_protein_015
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_015
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_015
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_015
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_058
Library002_barcode42	SRK_protein_058
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_061
Library002_barcode43	SRK_protein_062
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_061
Library002_barcode43	SRK_protein_062
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_061
Library002_barcode43	SRK_protein_062
Library002_barcode43	SRK_protein_059
Library002_barcode43	SRK_protein_060
Library002_barcode43	SRK_protein_061
Library002_barcode43	SRK_protein_062
Library002_barcode44	SRK_protein_063
Library002_barcode44	SRK_protein_063
Library002_barcode44	SRK_protein_063
Library002_barcode44	SRK_protein_063
Library002_barcode45	SRK_protein_064
Library002_barcode45	SRK_protein_065
Library002_barcode45	SRK_protein_064
Library002_barcode45	SRK_protein_065
Library002_barcode45	SRK_protein_064
Library002_barcode45	SRK_protein_065
Library002_barcode45	SRK_protein_064
Library002_barcode45	SRK_protein_065
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode46	SRK_protein_066
Library002_barcode47	SRK_protein_067
Library002_barcode47	SRK_protein_067
Library002_barcode47	SRK_protein_067
Library002_barcode47	SRK_protein_067
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode47	SRK_protein_068
Library002_barcode48	SRK_protein_069
Library002_barcode48	SRK_protein_069
Library002_barcode48	SRK_protein_069
Library002_barcode48	SRK_protein_069
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_070
Library002_barcode48	SRK_protein_071
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_070
Library002_barcode48	SRK_protein_071
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_070
Library002_barcode48	SRK_protein_071
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_070
Library002_barcode48	SRK_protein_071
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode50	SRK_protein_072
Library002_barcode51	SRK_protein_073
Library002_barcode51	SRK_protein_073
Library002_barcode51	SRK_protein_073
Library002_barcode51	SRK_protein_073
Library002_barcode51	SRK_protein_074
Library002_barcode51	SRK_protein_075
Library002_barcode51	SRK_protein_032
Library002_barcode51	SRK_protein_074
Library002_barcode51	SRK_protein_075
Library002_barcode51	SRK_protein_032
Library002_barcode51	SRK_protein_074
Library002_barcode51	SRK_protein_075
Library002_barcode51	SRK_protein_032
Library002_barcode51	SRK_protein_074
Library002_barcode51	SRK_protein_075
Library002_barcode51	SRK_protein_032
Library002_barcode52	SRK_protein_076
Library002_barcode52	SRK_protein_076
Library002_barcode52	SRK_protein_076
Library002_barcode52	SRK_protein_076
Library002_barcode53	SRK_protein_076
Library002_barcode53	SRK_protein_077
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_076
Library002_barcode53	SRK_protein_077
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_076
Library002_barcode53	SRK_protein_077
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_076
Library002_barcode53	SRK_protein_077
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_079
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_079
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_079
Library002_barcode53	SRK_protein_078
Library002_barcode53	SRK_protein_079
Library002_barcode53	SRK_protein_078
Library002_barcode54	SRK_protein_029
Library002_barcode54	SRK_protein_029
Library002_barcode54	SRK_protein_029
Library002_barcode54	SRK_protein_029
Library002_barcode54	SRK_protein_030
Library002_barcode54	SRK_protein_030
Library002_barcode54	SRK_protein_030
Library002_barcode54	SRK_protein_030
Library002_barcode55	SRK_protein_080
Library002_barcode55	SRK_protein_081
Library002_barcode55	SRK_protein_080
Library002_barcode55	SRK_protein_081
Library002_barcode55	SRK_protein_080
Library002_barcode55	SRK_protein_081
Library002_barcode55	SRK_protein_080
Library002_barcode55	SRK_protein_081
Library002_barcode55	SRK_protein_082
Library002_barcode55	SRK_protein_082
Library002_barcode55	SRK_protein_082
Library002_barcode55	SRK_protein_082
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_084
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_084
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_084
Library002_barcode56	SRK_protein_083
Library002_barcode56	SRK_protein_084
Library002_barcode56	SRK_protein_083
Library002_barcode57	SRK_protein_085
Library002_barcode57	SRK_protein_085
Library002_barcode57	SRK_protein_085
Library002_barcode57	SRK_protein_085
Library002_barcode57	SRK_protein_085
Library002_barcode57	SRK_protein_085
Library002_barcode58	SRK_protein_066
Library002_barcode58	SRK_protein_066
Library002_barcode58	SRK_protein_066
Library002_barcode58	SRK_protein_066
Library003_barcode60	SRK_protein_068
Library003_barcode60	SRK_protein_068
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_128
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_128
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_128
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_128
Library003_barcode61	SRK_protein_127
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_128
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_129
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_129
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_129
Library003_barcode62	SRK_protein_007
Library003_barcode62	SRK_protein_119
Library003_barcode62	SRK_protein_129
Library003_barcode62	SRK_protein_007
Library003_barcode63	SRK_protein_130
Library003_barcode63	SRK_protein_131
Library003_barcode63	SRK_protein_131
Library003_barcode63	SRK_protein_131
Library003_barcode63	SRK_protein_131
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_132
Library003_barcode64	SRK_protein_133
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_133
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_133
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_133
Library003_barcode64	SRK_protein_002
Library003_barcode65	SRK_protein_004
