Individual	Protein
Library005_barcode26	SRK_protein_057
Library005_barcode26	SRK_protein_057
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode27	SRK_protein_003
Library005_barcode28	SRK_protein_008
Library005_barcode28	SRK_protein_008
Library005_barcode28	SRK_protein_008
Library005_barcode28	SRK_protein_008
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode29	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode30	SRK_protein_003
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode31	SRK_protein_059
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode32	SRK_protein_060
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode33	SRK_protein_061
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode34	SRK_protein_003
Library005_barcode35	SRK_protein_022
Library005_barcode35	SRK_protein_062
Library005_barcode35	SRK_protein_022
Library005_barcode35	SRK_protein_062
Library005_barcode35	SRK_protein_062
Library005_barcode35	SRK_protein_062
Library005_barcode35	SRK_protein_062
Library005_barcode36	SRK_protein_055
Library005_barcode36	SRK_protein_055
Library005_barcode36	SRK_protein_055
Library005_barcode36	SRK_protein_055
Library005_barcode36	SRK_protein_056
Library005_barcode36	SRK_protein_056
Library005_barcode36	SRK_protein_056
Library005_barcode36	SRK_protein_056
Library006_barcode37	SRK_protein_072
Library006_barcode37	SRK_protein_072
Library006_barcode37	SRK_protein_022
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode38	SRK_protein_073
Library006_barcode38	SRK_protein_074
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode40	SRK_protein_075
Library006_barcode40	SRK_protein_076
Library006_barcode41	SRK_protein_075
Library006_barcode41	SRK_protein_075
Library006_barcode41	SRK_protein_075
Library006_barcode41	SRK_protein_075
Library006_barcode41	SRK_protein_076
Library006_barcode41	SRK_protein_076
Library006_barcode41	SRK_protein_076
Library006_barcode41	SRK_protein_076
Library006_barcode42	SRK_protein_047
Library006_barcode42	SRK_protein_050
Library006_barcode42	SRK_protein_047
Library006_barcode42	SRK_protein_050
Library006_barcode42	SRK_protein_047
Library006_barcode42	SRK_protein_050
Library006_barcode42	SRK_protein_047
Library006_barcode42	SRK_protein_050
Library006_barcode43	SRK_protein_053
Library006_barcode43	SRK_protein_053
Library006_barcode43	SRK_protein_053
Library006_barcode43	SRK_protein_053
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode44	SRK_protein_077
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode46	SRK_protein_078
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode47	SRK_protein_079
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode48	SRK_protein_080
Library006_barcode50	SRK_protein_046
Library006_barcode50	SRK_protein_046
Library006_barcode50	SRK_protein_046
Library006_barcode50	SRK_protein_046
Library006_barcode51	SRK_protein_002
Library006_barcode51	SRK_protein_002
Library006_barcode51	SRK_protein_002
Library006_barcode51	SRK_protein_002
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode53	SRK_protein_072
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_081
Library006_barcode54	SRK_protein_082
Library006_barcode54	SRK_protein_081
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode55	SRK_protein_083
Library006_barcode56	SRK_protein_004
Library006_barcode56	SRK_protein_084
Library006_barcode56	SRK_protein_084
Library006_barcode56	SRK_protein_004
Library006_barcode56	SRK_protein_084
Library006_barcode56	SRK_protein_004
Library006_barcode56	SRK_protein_084
Library006_barcode56	SRK_protein_014
Library006_barcode56	SRK_protein_014
Library006_barcode56	SRK_protein_014
Library006_barcode56	SRK_protein_014
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode57	SRK_protein_066
Library006_barcode58	SRK_protein_060
Library006_barcode58	SRK_protein_060
Library006_barcode58	SRK_protein_060
Library006_barcode58	SRK_protein_060
Library006_barcode59	SRK_protein_014
Library006_barcode59	SRK_protein_014
Library006_barcode59	SRK_protein_014
Library006_barcode59	SRK_protein_003
Library006_barcode59	SRK_protein_061
Library006_barcode59	SRK_protein_003
Library006_barcode59	SRK_protein_022
Library006_barcode59	SRK_protein_061
Library006_barcode59	SRK_protein_003
Library006_barcode59	SRK_protein_061
Library006_barcode59	SRK_protein_003
Library006_barcode59	SRK_protein_003
Library006_barcode59	SRK_protein_061
Library006_barcode60	SRK_protein_040
Library006_barcode60	SRK_protein_040
Library006_barcode60	SRK_protein_040
Library006_barcode60	SRK_protein_040
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode60	SRK_protein_022
Library006_barcode61	SRK_protein_028
Library006_barcode61	SRK_protein_028
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_085
Library006_barcode62	SRK_protein_065
Library006_barcode62	SRK_protein_065
Library006_barcode62	SRK_protein_065
Library006_barcode62	SRK_protein_065
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode63	SRK_protein_086
Library006_barcode64	SRK_protein_087
Library006_barcode64	SRK_protein_087
Library006_barcode64	SRK_protein_087
Library006_barcode64	SRK_protein_087
Library006_barcode64	SRK_protein_010
Library006_barcode64	SRK_protein_010
Library006_barcode64	SRK_protein_010
Library006_barcode64	SRK_protein_010
Library006_barcode65	SRK_protein_004
Library006_barcode65	SRK_protein_003
Library006_barcode65	SRK_protein_004
Library006_barcode65	SRK_protein_003
Library006_barcode65	SRK_protein_004
Library006_barcode65	SRK_protein_003
Library006_barcode65	SRK_protein_004
Library006_barcode65	SRK_protein_003
Library006_barcode66	SRK_protein_087
Library006_barcode66	SRK_protein_087
Library006_barcode66	SRK_protein_087
SRK_BEA	SRK_protein_001
SRK_BEA	SRK_protein_002
SRK_BEA	SRK_protein_001
SRK_BEA	SRK_protein_002
