BL	n	n_supporting	prop_supporting	prop_AAAA	mean_GFS
BL4	98	39	0.3979591836734694	0.6020408163265306	0.2534013605442177
BL5	92	36	0.391304347826087	0.6086956521739131	0.23731884057971014
BL3	81	25	0.30864197530864196	0.691358024691358	0.1666666666666667
BL1	11	3	0.2727272727272727	0.7272727272727273	0.16666666666666666
BL2	77	19	0.24675324675324675	0.7532467532467533	0.14718614718614717
