Sample_ID	Library	Barcode	DNA_Extraction	EO	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason
Library002_barcode45	2	45	73	52	1	28	28			dropped_abundance_filter	0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(20))
Library002_barcode46	2	46	74	68	1	36	20			normal	8	Functional	premature_stop	Assigned	Included		
Library002_barcode47	2	47	70	8	1	36	28			normal	12	Functional	mixed	Assigned	Included		
Library002_barcode48	2	48	72	118	1	40	36			low_functional_rate	16	Partial_translation_failure	premature_stop	Assigned	Included		
Library002_barcode49	2	49	69	29	1	20	16			no_functional_proteins	0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(26);ambiguous_aa(12))
Library002_barcode50	2	50	75	24a	1	36	28			normal	11	Functional	mixed	Assigned	Included		
Library002_barcode51	2	51	65	18	1	64	48			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(28);ambiguous_aa(12))
Library002_barcode52	2	52	150	702-24	1	28	8			normal	7	Functional		Unassigned	Included		
Library002_barcode53	2	53	151	715-1	1	48	36			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(14);ambiguous_aa(12))
Library002_barcode54	2	54	152	montanum	0	44	32			low_functional_rate	8	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode55	2	55	153	montanum	0	52	36			normal	11	Functional	premature_stop		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode56	2	56	154	philonitron	0	52	28			low_functional_rate	8	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode57	2	57	155	68	1	32	28			low_functional_rate	9	Partial_translation_failure	mixed	Assigned	Included		
Library002_barcode58	2	58	156	68	1	20	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library002_barcode59	2	59	157	38	1	0	0					NA			Excluded	Stage 3 — no assembly	sample present in metadata but no haplotypes assembled by Canu — needs re-sequencing
Library003_barcode60	3	60	159	67	1	20	20			low_functional_rate	5	Partial_translation_failure	premature_stop	Assigned	Included		
Library003_barcode61	3	61	160	25	1	44	36			normal	21	Functional	mixed	Assigned	Included		
Library003_barcode62	3	62	161	25	1	40	28			normal	13	Functional	premature_stop	Assigned	Included		
Library003_barcode63	3	63	163	67	1	32	28			low_functional_rate	5	Partial_translation_failure	premature_stop	Assigned	Included		
Library003_barcode64	3	64	164	67	1	48	36			normal	15	Functional	mixed	Assigned	Included		
Library003_barcode65	3	65	166	25	1	24	16			normal	11	Functional	premature_stop	Assigned	Included		
Library003_barcode66	3	66	167	76	1	32	20			normal	9	Functional	premature_stop	Assigned	Included		
Library003_barcode67	3	67	168	25	1	24	20			normal	12	Functional	ambiguous_aa	Assigned	Included		
Library003_barcode68	3	68	169	67	1	40	28			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library003_barcode69	3	69	170	25	1	36	36			low_functional_rate	8	Partial_translation_failure	premature_stop	Assigned	Included		
Library003_barcode70	3	70	171	25	1	24	8			normal	1	Functional	mixed	Assigned	Included		
Library003_barcode71	3	71	172	25	1	72	44			low_functional_rate	14	Partial_translation_failure	mixed	Assigned	Included		
Library003_barcode72	3	72	173	25	1	12	12			normal	12	Functional		Assigned	Included		
Library003_barcode73	3	73	174	25	1	20	12			normal	6	Functional	premature_stop	Assigned	Included		
Library003_barcode74	3	74	175	25	1	16	16			normal	12	Functional	premature_stop	Assigned	Included		
Library003_barcode75	3	75	176	67	1	48	24			no_functional_proteins	0	Complete_loss	mixed		Excluded	Step 9 — no_functional_proteins	mixed premature_stop + ambiguous_aa failures — both LoF mutations AND data-quality issues; interpret cautiously (Top failures: premature_stop(18);ambiguous_aa(12))
Library003_barcode76	3	76	177	76	1	28	28			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library003_barcode77	3	77	178	67	1	40	36			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library003_barcode78	3	78	179	67	1	20	16			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library004_barcode79	4	79	184	25	1	28	12			normal	10	Functional	premature_stop	Assigned	Included		
Library004_barcode80	4	80	185	67	1	28	24			low_functional_rate	7	Partial_translation_failure	ambiguous_aa	Assigned	Included		
Library004_barcode81	4	81	186	25	1	40	20			normal	11	Functional	premature_stop	Assigned	Included		
Library004_barcode82	4	82	187	25	1	44	28			normal	11	Functional	mixed	Assigned	Included		
Library004_barcode83	4	83	188	25	1	24	16			normal	10	Functional	ambiguous_aa	Assigned	Included		
Library004_barcode84	4	84	189	76	1	32	28			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library004_barcode85	4	85	190	67	1	36	28			normal	16	Functional	premature_stop	Assigned	Included		
Library004_barcode86	4	86	191	67	1	20	20			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library004_barcode87	4	87	192	76	1	24	20			normal	12	Functional	mixed	Assigned	Included		
Library004_barcode88	4	88	193	67	1	20	16			low_functional_rate	4	Partial_translation_failure	mixed	Assigned	Included		
Library004_barcode89	4	89	194	67	1	44	24			normal	12	Functional	mixed	Assigned	Included		
Library004_barcode90	4	90	195	67	1	0	0					NA			Excluded	Stage 3 — no assembly	sample present in metadata but no haplotypes assembled by Canu — needs re-sequencing
Library005_barcode01	5	1	196	76	1	88	20			normal	11	Functional	mixed	Assigned	Included		
Library005_barcode02	5	2	197	76	1	28	24			normal	15	Functional	mixed	Assigned	Included		
Library005_barcode03	5	3	198	76	1	32	24			normal	10	Functional	premature_stop	Assigned	Included		
Library005_barcode04	5	4	199	76	1	28	28			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(18))
Library005_barcode05	5	5	200	76	1	40	28			low_functional_rate	7	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode06	5	6	201	76	1	28	28			no_functional_proteins	0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(28);ambiguous_aa(12))
Library005_barcode07	5	7	202	76	1	36	32			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(4);ambiguous_aa(4))
Library005_barcode08	5	8	203	76	1	40	40			normal	20	Functional	premature_stop	Assigned	Included		
Library005_barcode09	5	9	204	76	1	64	32			low_functional_rate	10	Partial_translation_failure	ambiguous_aa	Assigned	Included		
Library005_barcode10	5	10	205	76	1	48	36			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(10);ambiguous_aa(8))
Library005_barcode11	5	11	206	76	1	8	8			normal	8	Functional		Assigned	Included		
Library005_barcode12	5	12	207	76	1	44	28			low_functional_rate	10	Partial_translation_failure	premature_stop	Assigned	Included		
Library005_barcode13	5	13	208	76	1	4	4			normal	2	Functional	premature_stop	Assigned	Included		
Library005_barcode14	5	14	210	76	1	68	48			low_functional_rate	12	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode15	5	15	211	76	1	12	12			normal	12	Functional		Assigned	Included		
Library005_barcode16	5	16	212	76	1	8	8			normal	7	Functional	premature_stop	Assigned	Included		
Library005_barcode17	5	17	213	76	1	88	60			low_functional_rate	15	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode18	5	18	214	76	1	12	12			normal	12	Functional		Assigned	Included		
Library005_barcode19	5	19	215	76	1	8	8			normal	8	Functional		Assigned	Included		
Library005_barcode20	5	20	216	76	1	64	48			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: ambiguous_aa(20);premature_stop(17))
Library005_barcode21	5	21	217	76	1	36	24			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(10))
Library005_barcode22	5	22	218	25	1	36	24			normal	13	Functional	premature_stop	Assigned	Included		
Library005_barcode23	5	23	219	25	1	40	28			low_functional_rate	13	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode24	5	24	220	25	1	68	40			normal	18	Functional	mixed	Assigned	Included		
Library005_barcode25	5	25	221	25	1	36	28			low_functional_rate	3	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode26	5	26	222	25	1	20	16			low_functional_rate	3	Partial_translation_failure	premature_stop	Assigned	Included		
Library005_barcode27	5	27	223	25	1	8	8			normal	7	Functional	premature_stop	Assigned	Included		
Library005_barcode28	5	28	224	25	1	36	20			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library005_barcode29	5	29	225	25	1	32	28			low_functional_rate	11	Partial_translation_failure	mixed	Assigned	Included		
Library005_barcode30	5	30	226	25	1	40	24			normal	14	Functional	mixed	Assigned	Included		
Library005_barcode31	5	31	227	25	1	28	24			normal	15	Functional	mixed	Assigned	Included		
Library005_barcode32	5	32	228	25	1	32	20			normal	8	Functional	ambiguous_aa	Assigned	Included		
Library005_barcode33	5	33	229	25	1	36	32			normal	16	Functional	mixed	Assigned	Included		
Library005_barcode34	5	34	230	25	1	8	8			normal	8	Functional		Assigned	Included		
Library005_barcode35	5	35	231	25	1	28	28			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library005_barcode36	5	36	232	25	1	56	36			low_functional_rate	11	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode37	6	37	233	27	1	72	36			low_functional_rate	7	Partial_translation_failure	premature_stop	Assigned	Included		
Library006_barcode38	6	38	235	27	1	48	44			normal	22	Functional	mixed	Assigned	Included		
