Individual	N_proteins	Zygosity	Genotype
Library004_barcode81	2	Heterozygous	AABB
Library004_barcode82	2	Heterozygous	AABB
Library004_barcode83	3	Heterozygous	AABC
Library004_barcode84	1	Homozygous	AAAA
Library004_barcode85	2	Heterozygous	AABB
Library004_barcode86	1	Homozygous	AAAA
Library004_barcode87	3	Heterozygous	AABC
Library004_barcode88	1	Homozygous	AAAA
Library004_barcode89	1	Homozygous	AAAA
Library005_barcode01	3	Heterozygous	AABC
Library005_barcode02	2	Heterozygous	AABB
Library005_barcode03	4	Heterozygous	ABCD
Library005_barcode04	5	Heterozygous	Unknown
Library005_barcode05	1	Homozygous	AAAA
Library005_barcode07	6	Heterozygous	Unknown
Library005_barcode08	3	Heterozygous	AABC
Library005_barcode09	2	Heterozygous	AABB
Library005_barcode10	4	Heterozygous	ABCD
Library005_barcode11	1	Homozygous	AAAA
Library005_barcode12	3	Heterozygous	AABC
Library005_barcode13	1	Homozygous	AAAA
Library005_barcode14	3	Heterozygous	AABC
Library005_barcode15	1	Homozygous	AAAA
Library005_barcode16	2	Heterozygous	AABB
Library005_barcode17	2	Heterozygous	AABB
Library005_barcode18	2	Heterozygous	AABB
Library005_barcode19	1	Homozygous	AAAA
Library005_barcode20	4	Heterozygous	ABCD
Library005_barcode21	4	Heterozygous	ABCD
Library005_barcode22	4	Heterozygous	ABCD
Library005_barcode23	3	Heterozygous	AABC
Library005_barcode24	3	Heterozygous	AABC
Library005_barcode25	2	Heterozygous	AABB
Library005_barcode26	1	Homozygous	AAAA
Library005_barcode27	1	Homozygous	AAAA
Library005_barcode28	1	Homozygous	AAAA
Library005_barcode29	2	Heterozygous	AABB
Library005_barcode30	2	Heterozygous	AABB
Library005_barcode31	1	Homozygous	AAAA
Library005_barcode32	3	Heterozygous	AABC
Library005_barcode33	2	Heterozygous	AABB
Library005_barcode34	1	Homozygous	AAAA
Library005_barcode35	3	Heterozygous	AABC
Library005_barcode36	2	Heterozygous	AABB
Library006_barcode37	3	Heterozygous	AABC
Library006_barcode38	2	Heterozygous	AABB
Library006_barcode39	4	Heterozygous	ABCD
Library006_barcode40	2	Heterozygous	AABB
Library006_barcode41	3	Heterozygous	AABC
Library006_barcode42	2	Heterozygous	AABB
Library006_barcode43	1	Homozygous	AAAA
Library006_barcode44	2	Heterozygous	AABB
Library006_barcode46	1	Homozygous	AAAA
Library006_barcode47	1	Homozygous	AAAA
Library006_barcode48	1	Homozygous	AAAA
Library006_barcode49	2	Heterozygous	AABB
Library006_barcode50	1	Homozygous	AAAA
Library006_barcode51	1	Homozygous	AAAA
Library006_barcode52	2	Heterozygous	AABB
Library006_barcode53	1	Homozygous	AAAA
Library006_barcode54	4	Heterozygous	ABCD
Library006_barcode55	1	Homozygous	AAAA
Library006_barcode56	3	Heterozygous	AABC
Library006_barcode57	1	Homozygous	AAAA
Library006_barcode58	1	Homozygous	AAAA
Library006_barcode59	4	Heterozygous	ABCD
