Hypothesis	Cross_id	Priority	Mother	Mother_genotype	Mother_allele(s)	Mother_BL	Mother_synonymy_group	Father	Father_genotype	Father_allele(s)	Father_BL	Father_synonymy_group	BL_pairing	Cross_category_predicted	HV_distance	Replicates_recommended	Expected_outcome	Decision_rule	Paired_control	Notes
H1b	H1b-001	1	Library001_barcode07	AAAA	Allele_046	BL1	Synonymy group 1	Library001_barcode09	AABB	Allele_007+Allele_043	BL3	Synonymy group 1+Isolated	between-BL	Compatible_cross	0.5–1.0 (between Class I and Class II)	9	high seed yield — pollen carrying the Class II allele is between-class compatible with the Class I mother; pollen carrying only the father's other Class I alleles is also compatible because mother allele differs from them.	Anchors the upper compatibility baseline (between-Class)		AABB Class II carrier; father other alleles = ['Allele_007']; pollen distribution depends on father genotype
H1b	H1b-002	2	Library001_barcode07	AAAA	Allele_046	BL1	Synonymy group 1	Library001_barcode14	AAAB	Allele_027+Allele_043	BL3	Synonymy group 1+Isolated	between-BL	Compatible_cross	0.5–1.0 (between Class I and Class II)	9	high seed yield — pollen carrying the Class II allele is between-class compatible with the Class I mother; pollen carrying only the father's other Class I alleles is also compatible because mother allele differs from them.	Anchors the upper compatibility baseline (between-Class)		AAAB Class II carrier; father other alleles = ['Allele_027']; pollen distribution depends on father genotype
H1b	H1b-003	3	Library001_barcode06	AAAA	Allele_006	BL3	Synonymy group 1	Library001_barcode21	AABB	Allele_022+Allele_043	BL1	Synonymy group 1+Isolated	between-BL	Compatible_cross	0.5–1.0 (between Class I and Class II)	9	high seed yield — pollen carrying the Class II allele is between-class compatible with the Class I mother; pollen carrying only the father's other Class I alleles is also compatible because mother allele differs from them.	Anchors the upper compatibility baseline (between-Class)		AABB Class II carrier; father other alleles = ['Allele_022']; pollen distribution depends on father genotype
H1b	H1b-004	4	Library001_barcode07	AAAA	Allele_046	BL1	Synonymy group 1	Library002_barcode35	AAAB	Allele_013+Allele_043	BL3	Synonymy group 1+Isolated	between-BL	Compatible_cross	0.5–1.0 (between Class I and Class II)	9	high seed yield — pollen carrying the Class II allele is between-class compatible with the Class I mother; pollen carrying only the father's other Class I alleles is also compatible because mother allele differs from them.	Anchors the upper compatibility baseline (between-Class)		AAAB Class II carrier; father other alleles = ['Allele_013']; pollen distribution depends on father genotype
H1b	H1b-005	5	Library001_barcode06	AAAA	Allele_006	BL3	Synonymy group 1	Library002_barcode38	AAAB	Allele_045+Allele_043	BL5	Synonymy group 1+Isolated	between-BL	Compatible_cross	0.5–1.0 (between Class I and Class II)	9	high seed yield — pollen carrying the Class II allele is between-class compatible with the Class I mother; pollen carrying only the father's other Class I alleles is also compatible because mother allele differs from them.	Anchors the upper compatibility baseline (between-Class)		AAAB Class II carrier; father other alleles = ['Allele_045']; pollen distribution depends on father genotype
